,id,thread_title,reply_split,classification,reply_sub,reply_words,entity,entity_locs,spin,speed,hardness,tackiness,weight,control,throw angle,durability,blocking,looping,throw,specific_aspects_cnt,g_comparative_word_begin_idx,g_comparative,g_comparative_words,comparative_word_begin_idx,comparative,comparative_words,comparative_aspects
4,5f686bc7b59794ca78c70902,Tenergy 05FX vs Tenergy 64FX,Very good for block.,descriptive,Very good for block.,"['Very', 'good', 'for', 'block', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,[5],['greater'],['good for'],[],[],[],[]
28,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,To me impartial XS reacts too much on incoming spin and flat hits were to predictable for my oponnet.,descriptive,To me impartial XS reacts too much on incoming spin and flat hits were to predictable for my oponnet.,"['To', 'me', 'impartial', 'XS', 'reacts', 'too', 'much', 'on', 'incoming', 'spin', 'and', 'flat', 'hits', 'were', 'to', 'predictable', 'for', 'my', 'oponnet', '.']",[],[],1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,[26],['less'],['too '],[],[],[],[]
30,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,"802-40 is very balanced but still feels a litle hard on touch shots,",descriptive,"802-40 is very balanced but still feels a litle hard on touch shots,","['802-40', 'is', 'very', 'balanced', 'but', 'still', 'feels', 'a', 'litle', 'hard', 'on', 'touch', 'shots', ',']",[],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
31,5f686bc8b59794ca78c70903,Butterfly Impartial XS vs 802-40 vs spinlord waran2,I suggest you to conisder Tutle Summer 3C it feels as upgraded 802-40- it is most balanced short pips i have ever tried.,descriptive,I suggest you to conisder Tutle Summer 3C it feels as upgraded 802-40- it is most balanced short pips i have ever tried.,"['I', 'suggest', 'you', 'to', 'conisder', 'Tutle', 'Summer', '3C', 'it', 'feels', 'as', 'upgraded', '802-40-', 'it', 'is', 'most', 'balanced', 'short', 'pips', 'i', 'have', 'ever', 'tried', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
87,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,I found that t05 is very sensitive to incoming spin and spinny serves.,descriptive,I found that Butterfly-Tenergy-05 is very sensitive to incoming spin and spinny serves.,"['I', 'found', 'that', 'Butterfly-Tenergy-05', 'is', 'very', 'sensitive', 'to', 'incoming', 'spin', 'and', 'spinny', 'serves', '.']",['Butterfly-Tenergy-05'],[13],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[56],['greater'],['spinny'],[],[],[],[]
93,5f686bdbb59794ca78c7090b,Tenergy 05 vs Tenergy 80,"If you like to push and spin aggressively, the T05 reaction is a benefit.",descriptive,"If you like to push and spin aggressively, the Butterfly-Tenergy-05 reaction is a benefit.","['If', 'you', 'like', 'to', 'push', 'and', 'spin', 'aggressively', ',', 'the', 'Butterfly-Tenergy-05', 'reaction', 'is', 'a', 'benefit', '.']",['Butterfly-Tenergy-05'],[48],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
133,5f686c26b59794ca78c70938,New Viscaria vs Old Viscaria,second one was flexy,descriptive,second one was flexy,"['second', 'one', 'was', 'flexy']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
171,5f686c4cb59794ca78c70952,Tenergy 64 vs 80 On BH,I would say that t80 is very fast.,descriptive,I would say that Butterfly-Tenergy-80 is very fast.,"['I', 'would', 'say', 'that', 'Butterfly-Tenergy-80', 'is', 'very', 'fast', '.']",['Butterfly-Tenergy-80'],[17],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
186,5f686c4cb59794ca78c70952,Tenergy 64 vs 80 On BH,I wouldn't say that T80 is good for playing close.,descriptive,I wouldn't say that Butterfly-Tenergy-80 is good for playing close.,"['I', 'would', ""n't"", 'say', 'that', 'Butterfly-Tenergy-80', 'is', 'good', 'for', 'playing', 'close', '.']",['Butterfly-Tenergy-80'],[21],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[27],['greater'],['good for'],[],[],[],[]
211,5f686c4cb59794ca78c70952,Tenergy 64 vs 80 On BH,When i was using The sriver in seemed to be alittle to slow and didn't have much spin and the control was nice.,descriptive,When i was using The Butterfly-Sriver in seemed to be alittle to slow and didn't have much spin and the control was nice.,"['When', 'i', 'was', 'using', 'The', 'Butterfly-Sriver', 'in', 'seemed', 'to', 'be', 'alittle', 'to', 'slow', 'and', 'did', ""n't"", 'have', 'much', 'spin', 'and', 'the', 'control', 'was', 'nice', '.']",['Butterfly-Sriver'],[21],1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,[56],['less'],['low'],[65],['less'],['slow'],['speed']
227,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"Tenergy often has many complaints of it being incredibly heavy per sheet, but many reviews say it is worth it.",descriptive,"Butterfly-Tenergy often has many complaints of it being incredibly heavy per sheet, but many reviews say it is worth it.","['Butterfly-Tenergy', 'often', 'has', 'many', 'complaints', 'of', 'it', 'being', 'incredibly', 'heavy', 'per', 'sheet', ',', 'but', 'many', 'reviews', 'say', 'it', 'is', 'worth', 'it', '.']",['Butterfly-Tenergy'],[0],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
230,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"Tenergy 05 reacts quite a bit to topspin, although if you have an ALL blade, it should be fine.",descriptive,"Butterfly-Tenergy-05 reacts quite a bit to topspin, although if you have an ALL blade, it should be fine.","['Butterfly-Tenergy-05', 'reacts', 'quite', 'a', 'bit', 'to', 'topspin', ',', 'although', 'if', 'you', 'have', 'an', 'ALL', 'blade', ',', 'it', 'should', 'be', 'fine', '.']",['Butterfly-Tenergy-05'],[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
231,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"Baracuda is very good with incoming spin, and would be fine with any blade.",descriptive,"Donic-Baracuda is very good with incoming spin, and would be fine with any blade.","['Donic-Baracuda', 'is', 'very', 'good', 'with', 'incoming', 'spin', ',', 'and', 'would', 'be', 'fine', 'with', 'any', 'blade', '.']",['Donic-Baracuda'],[0],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
233,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,Tenergy has many complaints of it being non-durable.,descriptive,Butterfly-Tenergy has many complaints of it being non-durable.,"['Butterfly-Tenergy', 'has', 'many', 'complaints', 'of', 'it', 'being', 'non-durable', '.']",['Butterfly-Tenergy'],[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
237,5f686c800ae0898b9220ac59,Tenenergy 05 vs Donic Baracuda,"Baracuda has never had complaints about it breaking easily, so Donic wins this one.",descriptive,"Donic-Baracuda has never had complaints about it breaking easily, so Donic wins this one.","['Donic-Baracuda', 'has', 'never', 'had', 'complaints', 'about', 'it', 'breaking', 'easily', ',', 'so', 'Donic', 'wins', 'this', 'one', '.']",['Donic-Baracuda'],[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
261,5f686cd89258cbc2661f82ff,Tenenergy 05 vs Donic Baracuda,"Tenergy often has many complaints of it being incredibly heavy per sheet, but many reviews say it is worth it.",descriptive,"Butterfly-Tenergy often has many complaints of it being incredibly heavy per sheet, but many reviews say it is worth it.","['Butterfly-Tenergy', 'often', 'has', 'many', 'complaints', 'of', 'it', 'being', 'incredibly', 'heavy', 'per', 'sheet', ',', 'but', 'many', 'reviews', 'say', 'it', 'is', 'worth', 'it', '.']",['Butterfly-Tenergy'],[0],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
